Proper polygon specified: -150,-75:-150,-400:400,-400:400,-75
hazard = x=-8,y=-111,type=benign,label=563,hr=0.0002,hazard=false
hazard = x=269,y=-224,type=benign,label=123,hr=0.84272,hazard=false
hazard = x=325,y=-317,type=benign,label=932,hr=0.3025,hazard=false
hazard = x=381,y=-242,type=benign,label=855,hr=0.21437,hazard=false
hazard = x=68,y=-276,type=benign,label=409,hr=0.26214,hazard=false
hazard = x=388,y=-224,type=benign,label=156,hr=0.68393,hazard=false
hazard = x=-88,y=-225,type=benign,label=773,hr=0.31472,hazard=false
hazard = x=243,y=-179,type=benign,label=437,hr=0.16565,hazard=false
hazard = x=136,y=-79,type=benign,label=558,hr=0.0396,hazard=false
hazard = x=114,y=-176,type=benign,label=107,hr=0.04796,hazard=false
hazard = x=-71,y=-346,type=benign,label=983,hr=0.00002,hazard=false
hazard = x=164,y=-389,type=benign,label=980,hr=0.00212,hazard=false
hazard = x=333,y=-311,type=benign,label=434,hr=0.9006,hazard=false
hazard = x=-102,y=-326,type=benign,label=126,hr=0.17389,hazard=false
hazard = x=328,y=-395,type=benign,label=562,hr=0.0016,hazard=false
hazard = x=82,y=-379,type=benign,label=286,hr=0.00102,hazard=false
hazard = x=210,y=-124,type=benign,label=829,hr=0.22278,hazard=false
hazard = x=-37,y=-305,type=benign,label=710,hr=0.01166,hazard=false
hazard = x=23,y=-124,type=benign,label=755,hr=0.8464,hazard=false
hazard = x=-89,y=-132,type=benign,label=254,hr=0.97812,hazard=false
hazard = x=255,y=-297,type=benign,label=572,hr=0.5184,hazard=false
hazard = x=136,y=-211,type=benign,label=105,hr=0.94868,hazard=false
hazard = x=-22,y=-95,type=benign,label=313,hr=0.013,hazard=false
hazard = x=134,y=-269,type=benign,label=166,hr=0.3047,hazard=false
hazard = x=110,y=-120,type=benign,label=446,hr=0.69556,hazard=false
hazard = x=110,y=-383,type=benign,label=261,hr=0.0441,hazard=false
hazard = x=383,y=-232,type=benign,label=648,hr=0.00012,hazard=false
hazard = x=64,y=-87,type=benign,label=734,hr=0.04121,hazard=false
hazard = x=371,y=-118,type=benign,label=211,hr=0.29052,hazard=false
hazard = x=151,y=-126,type=benign,label=103,hr=0.19448,hazard=false
hazard = x=305,y=-132,type=benign,label=297,hr=0.08644,hazard=false
hazard = x=37,y=-231,type=benign,label=104,hr=0.13104,hazard=false
hazard = x=280,y=-305,type=benign,label=782,hr=0.32376,hazard=false
hazard = x=-36,y=-80,type=benign,label=749,hr=0.09425,hazard=false
hazard = x=267,y=-199,type=benign,label=387,hr=0.36966,hazard=false
hazard = x=-116,y=-328,type=benign,label=395,hr=0.36602,hazard=false
hazard = x=-100,y=-141,type=benign,label=303,hr=0.12816,hazard=false
hazard = x=188,y=-260,type=benign,label=854,hr=0.91394,hazard=false
hazard = x=298,y=-283,type=benign,label=523,hr=0.62726,hazard=false
hazard = x=-17,y=-351,type=benign,label=394,hr=0.0231,hazard=false
hazard = x=153,y=-129,type=benign,label=444,hr=0.0196,hazard=false
hazard = x=64,y=-246,type=benign,label=175,hr=0.41474,hazard=false
hazard = x=326,y=-270,type=benign,label=793,hr=0.81541,hazard=false
hazard = x=-138,y=-197,type=benign,label=715,hr=0.32718,hazard=false
hazard = x=85,y=-357,type=benign,label=195,hr=0.00436,hazard=false
hazard = x=218,y=-103,type=benign,label=257,hr=0.72761,hazard=false
hazard = x=77,y=-195,type=benign,label=238,hr=0.30581,hazard=false
hazard = x=354,y=-276,type=benign,label=994,hr=0.01638,hazard=false
hazard = x=291,y=-300,type=benign,label=543,hr=0.46786,hazard=false
hazard = x=4,y=-125,type=benign,label=968,hr=0.3025,hazard=false
hazard = x=304,y=-231,type=benign,label=768,hr=0.00608,hazard=false
hazard = x=-13,y=-110,type=benign,label=150,hr=0.0027,hazard=false
hazard = x=86,y=-322,type=benign,label=819,hr=0.70392,hazard=false
hazard = x=221,y=-300,type=benign,label=624,hr=0.69056,hazard=false
hazard = x=212,y=-279,type=benign,label=856,hr=0.28302,hazard=false
hazard = x=38,y=-106,type=benign,label=658,hr=0.60373,hazard=false
hazard = x=-67,y=-363,type=benign,label=138,hr=0.0004,hazard=false
hazard = x=370,y=-353,type=benign,label=680,hr=0.07952,hazard=false
hazard = x=66,y=-251,type=benign,label=185,hr=0.0001,hazard=false
hazard = x=310,y=-244,type=benign,label=766,hr=0.4761,hazard=false
hazard = x=330,y=-398,type=benign,label=890,hr=0.86304,hazard=false
hazard = x=127,y=-202,type=benign,label=713,hr=0.27878,hazard=false
hazard = x=182,y=-237,type=benign,label=931,hr=0.27458,hazard=false
hazard = x=260,y=-181,type=benign,label=729,hr=0.7056,hazard=false
hazard = x=-120,y=-355,type=benign,label=358,hr=0.33062,hazard=false
hazard = x=383,y=-397,type=benign,label=182,hr=0.11765,hazard=false
hazard = x=169,y=-318,type=benign,label=233,hr=0.3844,hazard=false
hazard = x=-62,y=-154,type=benign,label=807,hr=0.03422,hazard=false
hazard = x=307,y=-132,type=benign,label=267,hr=0.26112,hazard=false
hazard = x=220,y=-290,type=benign,label=651,hr=0.44622,hazard=false
hazard = x=252,y=-271,type=benign,label=818,hr=0.8281,hazard=false
hazard = x=170,y=-358,type=benign,label=934,hr=0.01769,hazard=false
hazard = x=312,y=-154,type=benign,label=174,hr=0.19097,hazard=false
hazard = x=143,y=-269,type=benign,label=689,hr=0.89302,hazard=false
hazard = x=94,y=-123,type=benign,label=177,hr=0.39564,hazard=false
hazard = x=194,y=-338,type=benign,label=701,hr=0.03422,hazard=false
hazard = x=395,y=-231,type=benign,label=876,hr=0.19892,hazard=false
hazard = x=292,y=-89,type=benign,label=221,hr=0.0912,hazard=false
hazard = x=61,y=-136,type=benign,label=665,hr=0.00548,hazard=false
hazard = x=384,y=-339,type=benign,label=754,hr=0.48581,hazard=false
hazard = x=211,y=-176,type=benign,label=520,hr=0.1764,hazard=false
hazard = x=150,y=-375,type=benign,label=886,hr=0.8281,hazard=false
hazard = x=170,y=-119,type=benign,label=448,hr=0.9044,hazard=false
hazard = x=-54,y=-85,type=benign,label=708,hr=0.14138,hazard=false
hazard = x=377,y=-214,type=benign,label=718,hr=0.00032,hazard=false
hazard = x=274,y=-324,type=benign,label=320,hr=0.76913,hazard=false
hazard = x=190,y=-162,type=benign,label=108,hr=0.03204,hazard=false
hazard = x=173,y=-207,type=benign,label=884,hr=0.91394,hazard=false
hazard = x=275,y=-152,type=benign,label=325,hr=0.9801,hazard=false
hazard = x=19,y=-344,type=benign,label=407,hr=0.86862,hazard=false
hazard = x=258,y=-238,type=benign,label=269,hr=0.50694,hazard=false
hazard = x=358,y=-85,type=benign,label=552,hr=0.27563,hazard=false
hazard = x=-98,y=-326,type=benign,label=531,hr=0.55205,hazard=false
hazard = x=318,y=-130,type=benign,label=498,hr=0.1369,hazard=false
hazard = x=329,y=-80,type=benign,label=878,hr=0.16484,hazard=false
hazard = x=201,y=-250,type=benign,label=675,hr=0.54022,hazard=false
hazard = x=0,y=-135,type=benign,label=785,hr=0.2304,hazard=false
hazard = x=-33,y=-382,type=benign,label=162,hr=0.24701,hazard=false
hazard = x=34,y=-198,type=benign,label=533,hr=0.11492,hazard=false
hazard = x=146,y=-344,type=benign,label=337,hr=0.25402,hazard=false
hazard = x=171,y=-91,type=benign,label=870,hr=0.54317,hazard=false
hazard = x=142,y=-281,type=benign,label=593,hr=0.07182,hazard=false
hazard = x=10,y=-289,type=benign,label=149,hr=0.06002,hazard=false
hazard = x=-41,y=-219,type=benign,label=943,hr=0.51696,hazard=false
hazard = x=7,y=-338,type=benign,label=632,hr=0.95453,hazard=false
hazard = x=-42,y=-174,type=benign,label=310,hr=0.0096,hazard=false
hazard = x=391,y=-357,type=benign,label=839,hr=0.89492,hazard=false
hazard = x=190,y=-369,type=benign,label=295,hr=0.11223,hazard=false
hazard = x=315,y=-240,type=benign,label=656,hr=0,hazard=false
hazard = x=391,y=-208,type=benign,label=954,hr=0.18836,hazard=false
hazard = x=274,y=-163,type=benign,label=364,hr=0.09923,hazard=false
hazard = x=-74,y=-195,type=benign,label=121,hr=0.71741,hazard=false
hazard = x=368,y=-156,type=benign,label=362,hr=0.00476,hazard=false
hazard = x=336,y=-369,type=benign,label=690,hr=0.063,hazard=false
hazard = x=-144,y=-97,type=benign,label=172,hr=0.13032,hazard=false
hazard = x=-96,y=-92,type=benign,label=865,hr=0.013,hazard=false
hazard = x=42,y=-322,type=benign,label=809,hr=0.14516,hazard=false
hazard = x=317,y=-174,type=benign,label=420,hr=0.87984,hazard=false
hazard = x=-91,y=-215,type=benign,label=640,hr=0.89302,hazard=false
hazard = x=-130,y=-285,type=benign,label=625,hr=0.2209,hazard=false
hazard = x=373,y=-102,type=benign,label=591,hr=0.07784,hazard=false
hazard = x=327,y=-370,type=benign,label=743,hr=0.16646,hazard=false
hazard = x=243,y=-150,type=benign,label=197,hr=0.6626,hazard=false
hazard = x=23,y=-136,type=benign,label=202,hr=0.09797,hazard=false
hazard = x=231,y=-128,type=benign,label=479,hr=0.23426,hazard=false
hazard = x=115,y=-271,type=benign,label=538,hr=0.0102,hazard=false
hazard = x=16,y=-270,type=benign,label=198,hr=0.15445,hazard=false
hazard = x=114,y=-331,type=benign,label=109,hr=0.0219,hazard=false
hazard = x=400,y=-355,type=benign,label=305,hr=0.46104,hazard=false
hazard = x=-93,y=-152,type=benign,label=443,hr=0.38192,hazard=false
hazard = x=98,y=-214,type=benign,label=306,hr=0.71234,hazard=false
hazard = x=-107,y=-123,type=benign,label=535,hr=0.85378,hazard=false
hazard = x=133,y=-96,type=benign,label=574,hr=0.84824,hazard=false
hazard = x=216,y=-206,type=benign,label=603,hr=0.04368,hazard=false
hazard = x=-17,y=-346,type=benign,label=764,hr=0.88548,hazard=false
hazard = x=316,y=-303,type=benign,label=738,hr=0.1024,hazard=false
hazard = x=244,y=-150,type=benign,label=534,hr=0.5929,hazard=false
hazard = x=-69,y=-297,type=benign,label=936,hr=0.73274,hazard=false
hazard = x=136,y=-133,type=benign,label=460,hr=0.49985,hazard=false
